"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет работу механизма валидации числовых и текстовых значений:
- При вводе корректного числа в диапазоне отображается сообщение «Valid» с зелёным цветом.
- При вводе некорректного числа или текс выводится соответствующее сообщение и цвет ошибки.
","150","Проверка валидации значения","tests","Sun Nov 30 10:19:47 UTC 2025","passed","Sun Nov 30 10:19:47 UTC 2025","","Check and validate","",""
"Тест проверяет работу чекбоксов:
- Включается указанное количество чекбоксов
- Затем часть из них отключается
- Проверяется, что счётчик активных чекбоксов отображает правильное значение
","1563","Проверка корректности счетчика при включении/ыключении чекбоксов","tests","Sun Nov 30 10:19:54 UTC 2025","passed","Sun Nov 30 10:19:55 UTC 2025","","Checkboxes and scroll","",""
"Тест проверяет работу механизма валидации числовых и текстовых значений:
- При вводе корректного числа в диапазоне отображается сообщение «Valid» с зелёным цветом.
- При вводе некорректного числа или текс выводится соответствующее сообщение и цвет ошибки.
","152","Проверка валидации значения","tests","Sun Nov 30 10:19:45 UTC 2025","passed","Sun Nov 30 10:19:45 UTC 2025","","Check and validate","",""
"Тест проверяет, что нету результата если запрос невалидный","2120","Проверка результата при невалидном запросе","tests","Sun Nov 30 10:19:22 UTC 2025","passed","Sun Nov 30 10:19:24 UTC 2025","","Autocomplete","",""
"Тест проверяет появление ошибки","1173","Проверка появление ошибки","tests","Sun Nov 30 10:19:34 UTC 2025","passed","Sun Nov 30 10:19:35 UTC 2025","","Error Handing","",""
"Тест проверяет, что автокомплит правильно выводит результат взависимости от введенного текста","1139","Проверка корректности автокомплита","tests","Sun Nov 30 10:19:07 UTC 2025","passed","Sun Nov 30 10:19:08 UTC 2025","","Autocomplete","",""
"Тест проверяет корректность отображения сообщения о попытках при окончании игры:
- Если число не угадано
- Если число угадано
- Если закончились попытки
","455","Проверка сообщения о попытках","tests","Sun Nov 30 10:20:46 UTC 2025","passed","Sun Nov 30 10:20:47 UTC 2025","","Game page","",""
"Тест проверяет, что отображается индикатор загрузки","263","Проверка отображения индикатора загрузки","tests","Sun Nov 30 10:19:00 UTC 2025","passed","Sun Nov 30 10:19:00 UTC 2025","","Data loading","",""
"Тест проверяет сообщение при составлении слова:
- Если слово собрано правильно, то отображается DONE
- Если слово собрано неправильно, то сообщения нету
","3016","Проверка сообщения после составления слова","tests","Sun Nov 30 10:20:00 UTC 2025","passed","Sun Nov 30 10:20:03 UTC 2025","","Drand and drop","",""
"Выполнение сортировки таблицы по должности","187","Сортировка по должности","tests","Sun Nov 30 10:21:16 UTC 2025","passed","Sun Nov 30 10:21:17 UTC 2025","","Sorting page","",""
"Проверка появление об ошибки при невалидных конфигурациях игры","197","Проверка появление об ошибки при невалидных конфигурациях игры","tests","Sun Nov 30 10:20:31 UTC 2025","passed","Sun Nov 30 10:20:31 UTC 2025","","Game page","",""
"Тест проверяет работу механизма валидации числовых и текстовых значений:
- При вводе корректного числа в диапазоне отображается сообщение «Valid» с зелёным цветом.
- При вводе некорректного числа или текс выводится соответствующее сообщение и цвет ошибки.
","151","Проверка валидации значения","tests","Sun Nov 30 10:19:44 UTC 2025","passed","Sun Nov 30 10:19:45 UTC 2025","","Check and validate","",""
"Значение Guess не превышает максимальное значение заданное при конфигурации игры","327","Значение Guess не превышает максимальное значение","tests","Sun Nov 30 10:20:38 UTC 2025","passed","Sun Nov 30 10:20:39 UTC 2025","","Game page","",""
"Тест проверяет, что нету результата если запрос невалидный","2128","Проверка результата при невалидном запросе","tests","Sun Nov 30 10:19:11 UTC 2025","passed","Sun Nov 30 10:19:13 UTC 2025","","Autocomplete","",""
"Тест проверяет корректность отображения сообщения после попытки угадать число:
- Если число угадано 
- Если число больше/меньше
- Если закончились попытки
","586","Проверка сообщения о результате игры","tests","Sun Nov 30 10:20:41 UTC 2025","passed","Sun Nov 30 10:20:42 UTC 2025","","Game page","",""
"Выполнение конвертации данных из yaml формата в json","240","Конвертация данных в json формат","tests","Sun Nov 30 10:19:59 UTC 2025","passed","Sun Nov 30 10:19:59 UTC 2025","","Data convert page","",""
"Тест проверяет, что автокомплит правильно выводит результат взависимости от введенного текста","1139","Проверка корректности автокомплита","tests","Sun Nov 30 10:19:03 UTC 2025","passed","Sun Nov 30 10:19:04 UTC 2025","","Autocomplete","",""
"Тест проверяет появление ошибки при разных невалидных значения","212","Проверка появления сообщения об ошибки при невалидном значении","tests","Sun Nov 30 10:18:49 UTC 2025","passed","Sun Nov 30 10:18:50 UTC 2025","","Data loading","",""
"Выполнение конвертации данных из json формата в yaml","225","Конвертация данных в yaml формат","tests","Sun Nov 30 10:19:58 UTC 2025","passed","Sun Nov 30 10:19:58 UTC 2025","","Data convert page","",""
"Тест проверяет, что автокомплит правильно выводит результат взависимости от введенного текста","1138","Проверка корректности автокомплита","tests","Sun Nov 30 10:19:09 UTC 2025","passed","Sun Nov 30 10:19:10 UTC 2025","","Autocomplete","",""
"Выполнение сортировки таблицы по возрасту","203","Сортировка по возрасту","tests","Sun Nov 30 10:21:16 UTC 2025","passed","Sun Nov 30 10:21:16 UTC 2025","","Sorting page","",""
